Grant,Recipient,Amount,Date,Link to grant description,Topics,Funders,Countries
Support for Deworming and Worm Burden Mapping,Unlimit Health (formerly SCI Foundation),$19995935,2022-01-26,https://www.givewell.org/research/grants/sci-foundation-deworming-and-mapping-January-2022,Deworming,Coefficient Giving,"Burundi,Democratic Republic of the Congo,Côte d’Ivoire,Liberia,Madagascar,Malawi,Mauritania,Niger,Sudan,Tanzania,Uganda"
"Seasonal Malaria Chemoprevention Renewal in Nigeria, Burkina Faso, Chad, and Togo",Malaria Consortium,$80094663,2022-01-24,https://www.givewell.org/research/grants/Malaria-Consortium-SMC-renewal-Nigeria-Burkina-Chad-Togo-January-2022,"Malaria,Seasonal malaria chemoprevention (SMC)","Coefficient Giving,Board Designated,Top Charities Fund","Burkina Faso,Chad,Nigeria,Togo"
"Long-Lasting Insecticidal Nets for PMI-supported states in Nigeria, 2023",Against Malaria Foundation,$8340095,2022-01-19,https://www.givewell.org/research/grants/AMF-PMI-supported-states-Nigeria-January-2022,"Malaria,Insecticide-treated nets (ITNs)","Top Charities Fund,Effective Altruism Funds,Vanguard Charitable",Nigeria
Conditional Cash Transfers for Infant Immunizations,New Incentives,$9411000,2022-01-01,https://www.givewell.org/research/grants/new-incentives-nigeria-January-2022,"Conditional cash transfers (CCTs),Incentives,Vaccines",Top Charities Fund,Nigeria
"RTS,S Malaria Vaccines in Pilot Comparison Areas",PATH,$4998769,2022-01-01,https://www.givewell.org/research/grants/PATH-malaria-vaccines-January-2022,"Malaria,Vaccines",Coefficient Giving,"Ghana,Kenya,Malawi"
"Dispensers for Safe Water, General Support",Evidence Action,$64723380,2022-01-01,https://www.givewell.org/research/grants/evidence-action-dispensers-for-safe-water-January-2022,"Chlorination,Water",Coefficient Giving,"Kenya,Malawi,Uganda"
"Deworm the World in Pakistan, Nigeria, and Kenya",Evidence Action,$4831657,2021-12-31,https://www.givewell.org/research/grants/Evidence-Action-Deworm-the-World-Pakistan-Nigeria-Kenya-December-2021,Deworming,Top Charities Fund,"Kenya,Nigeria,Pakistan"
Deworming in Nigeria and Cameroon,Sightsavers,$7841115,2021-12-31,https://www.givewell.org/research/grants/sightsavers-deworming-cameroon-nigeria-December-2021,Deworming,Top Charities Fund,"Cameroon,Nigeria"
Accelerator Renewal for 2022-2025,Evidence Action,$14006277,2021-12-21,https://www.givewell.org/research/grants/Evidence-Action-Accelerator-renewal-december-2021,Organizational support,Coefficient Giving,
Incentive Grant,END Fund,$500000,2021-12-20,https://www.givewell.org/research/grants/incentive-grants-december-2021,Deworming,Coefficient Giving,
Incentive Grant,Unlimit Health (formerly SCI Foundation),$500000,2021-12-20,https://www.givewell.org/research/grants/incentive-grants-december-2021,Deworming,Coefficient Giving,
Incentive Grant,GiveDirectly,$500000,2021-12-20,https://www.givewell.org/research/grants/incentive-grants-december-2021,"Cash transfers,Incentives,Livelihoods,Unconditional cash transfers",Coefficient Giving,
Support for Expansion of Iron Fortification,Fortify Health,$8188000,2021-12-17,https://www.givewell.org/research/incubation-grants/Fortify-Health-expansion-December-2021,"Nutrition,Fortification,Iron",Coefficient Giving,India
"General Support, Alcohol Policy",Vital Strategies,$15000000,2021-12-14,https://www.givewell.org/research/grants/RESET-alcohol-December-2021,"Alcohol,Policy",Coefficient Giving,
Support for Research and Advocacy to Reduce Lead Exposure,Center for Global Development,$1200000,2021-11-01,https://www.givewell.org/research/incubation-grants/Center-for-Global-Development-lead-exposure-November-2021,"Lead,Policy,Research",Effective Altruism Funds,
Evaluation of Mobile Conditional Cash Transfers,University of Chicago,$1971943,2021-11-01,https://www.givewell.org/research/grants/University-of-Chicago-Evaluation-of-mCCTs-November-2021,"Conditional cash transfers (CCTs),Incentives,Vaccines",Coefficient Giving,Pakistan
"Monitoring and Evaluation of Net Distribution in Anambra, Nigeria",Malaria Consortium,$1199808,2021-11-01,https://www.givewell.org/research/grants/Malaria-Consortium-monitoring-nets-Anambra-Nigeria-November-2021,"Malaria,Insecticide-treated nets (ITNs)","Coefficient Giving,Individual donor",Nigeria
Bridge Grant for Tuberculosis Program,Interactive Research & Development (IRD Global),$562000,2021-11-01,https://www.givewell.org/research/grants/IRD-Global-zero-TB-April-2022,Tuberculosis,Effective Altruism Funds,Pakistan
"Support for Deworming in Kaduna, Zamfara, Niger, Kano, Adamawa, and Katsina in 2021-2023",Sightsavers,$4438085,2021-10-07,https://www.givewell.org/research/grants/sightsavers-deworming-six-nigerian-states-october-2021,Deworming,Coefficient Giving,Nigeria
"Support for Seasonal Malaria Chemoprevention in FCT and Oyo States, Nigeria",Malaria Consortium,$15900000,2021-10-07,https://www.givewell.org/research/incubation-grants/Malaria-Consortium-SMC-FCT-Oyo-states-October-2021,"Malaria,Seasonal malaria chemoprevention (SMC)",Coefficient Giving,Nigeria
Mobile Conditional Cash Transfers for Immunizations,Interactive Research & Development (IRD Global),$19056837,2021-10-01,https://www.givewell.org/research/grants/IRD-global-mCCTs-for-immunizations-october-2021,"Conditional cash transfers (CCTs),Incentives,Vaccines",Coefficient Giving,Pakistan
"Support for Long-Lasting Insecticidal Nets Campaigns in Nigeria (2022), Uganda (2023), and Togo (2023)",Against Malaria Foundation,$52829144,2021-10-01,https://www.givewell.org/research/grants/AMF-LLIN-campaigns-October-2021,"Malaria,Insecticide-treated nets (ITNs)","Board Designated,Top Charities Fund","Nigeria,Togo,Uganda"
Treatment of Malnutrition Scoping Grant,International Rescue Committee,$42000,2021-10-01,https://www.givewell.org/research/grants/international-rescue-committee-malnutrition-treatment-october-2021,"Nutrition,Malnutrition",Coefficient Giving,
Treatment of Malnutrition,International Rescue Committee,$18096282,2021-08-09,https://www.givewell.org/research/grants/international-rescue-committee-malnutrition-treatment-may-to-august-2021,"Nutrition,Malnutrition",Coefficient Giving,"Burkina Faso,Chad,Democratic Republic of the Congo,Niger,Somalia"
Scoping Grant to Assess Feasibility of Intermittent Preventive Treatment in Infants (IPTi) for Malaria,PATH,$120000,2021-08-01,https://www.givewell.org/research/incubation-grants/Malaria-Consortium-and-PATH-IPTi-scoping-September-2021,"Malaria,Perennial malaria chemoprevention (PMC)",Individual donor,"Democratic Republic of the Congo,Nigeria"
Support for Reducing Lead Exposure in Low- and Middle-Income Countries,Pure Earth Blacksmith Institute Inc,$8000000,2021-07-20,https://www.givewell.org/research/incubation-grants/Pure-Earth-lead-exposure-July-2021,Lead,"Coefficient Giving,Effective Altruism Funds,Individual donor","Bangladesh,India,Philippines"
Standout Charity Exit Grant,Global Alliance for Improved Nutrition (GAIN),$100000,2021-07-07,https://blog.givewell.org/2021/10/05/discontinuing-standout-charity-designation/,"Nutrition,Fortification",Coefficient Giving,
Standout Charity Exit Grant,Development Media International,$100000,2021-07-07,https://blog.givewell.org/2021/10/05/discontinuing-standout-charity-designation/,Mass media,Coefficient Giving,
Standout Charity Exit Grant,Living Goods,$100000,2021-07-07,https://blog.givewell.org/2021/10/05/discontinuing-standout-charity-designation/,"""Maternal, neonatal, and child health""",Coefficient Giving,
Standout Charity Exit Grant,Project Healthy Children Inc,$100000,2021-07-07,https://blog.givewell.org/2021/10/05/discontinuing-standout-charity-designation/,Nutrition,Coefficient Giving,
Standout Charity Exit Grant,Evidence Action,$100000,2021-07-07,https://blog.givewell.org/2021/10/05/discontinuing-standout-charity-designation/,Water,Coefficient Giving,
Standout Charity Exit Grant,Iodine Global Network,$100000,2021-07-07,https://blog.givewell.org/2021/10/05/discontinuing-standout-charity-designation/,"Nutrition,Fortification",Coefficient Giving,
Food Fortification Initiative Standout Charity Exit Grant,Emory University,$100000,2021-07-07,https://blog.givewell.org/2021/10/05/discontinuing-standout-charity-designation/,"Nutrition,Fortification",Coefficient Giving,
Zusha! Standout Charity Exit Grant,Georgetown University,$100000,2021-07-07,https://blog.givewell.org/2021/10/05/discontinuing-standout-charity-designation/,,Coefficient Giving,
Standout Charity Exit Grant,Precision Development (PxD),$100000,2021-07-07,https://blog.givewell.org/2021/10/05/discontinuing-standout-charity-designation/,Agriculture,Coefficient Giving,
"Support for Monitoring and Evaluation of Long-Lasting Insecticidal Nets Distribution Campaign in Ondo State, Nigeria",Malaria Consortium,$2051853,2021-07-07,https://www.givewell.org/research/incubation-grants/Malaria-Consortium-monitoring-Ondo-July-2021,"Malaria,Insecticide-treated nets (ITNs)",Coefficient Giving,Nigeria
Long-Lasting Insecticidal Nets Campaigns in 2023,Against Malaria Foundation,$2280661,2021-07-01,https://www.givewell.org/maximum-impact-fund/allocation-q2-2021,"Malaria,Insecticide-treated nets (ITNs)",Top Charities Fund,
Scale-Up of Conditional Cash Transfers for Infant Immunization,New Incentives,$11400000,2021-07-01,https://www.givewell.org/maximum-impact-fund/allocation-q2-2021,"Conditional cash transfers (CCTs),Incentives,Vaccines","Top Charities Fund,Individual donor",Nigeria
Seasonal Malaria Chemoprevention Campaigns in 2023,Malaria Consortium,$2280661,2021-07-01,https://www.givewell.org/maximum-impact-fund/allocation-q2-2021,"Malaria,Seasonal malaria chemoprevention (SMC)",Top Charities Fund,"Burkina Faso,Chad,Nigeria,Togo"
Mobile Conditional Cash Transfers for Immunizations (Bridge Grant),Interactive Research & Development (IRD Global),$336402,2021-06-23,https://www.givewell.org/research/grants/IRD-global-mCCTs-for-immunizations-october-2021,"Conditional cash transfers (CCTs),Incentives,Vaccines",Coefficient Giving,Pakistan
"Reallocation of Malaria Consortium SMC funding to support SMC in Borno, Nigeria in 2021",Malaria Consortium,$0,2021-06-01,https://www.givewell.org/research/incubation-grants/Malaria-Consortium-SMC-Borno-reallocation-June-2021,"Malaria,Seasonal malaria chemoprevention (SMC)",,Nigeria
Malnutrition Treatment in Chad,ALIMA USA,$7968073,2021-05-27,https://www.givewell.org/research/grants/alliance-for-international-medical-action-malnutrition-chad-may-2021-niger-nigeria-november-2022,"Nutrition,Malnutrition","Coefficient Giving,Individual donor",Chad
Treatment of Malnutrition (Bridge Grant),International Rescue Committee,$1811140,2021-05-26,https://www.givewell.org/research/grants/international-rescue-committee-malnutrition-treatment-may-to-august-2021,"Nutrition,Malnutrition",Coefficient Giving,"Burkina Faso,Chad,Democratic Republic of the Congo,Niger,Somalia"
Research on Spillover Effects of Cash Transfers,University of Oxford,$121626,2021-05-06,https://www.givewell.org/research/grants/oxford-university-spillover-effects-June-2021,"Cash transfers,Incentives,Livelihoods,Research,Unconditional cash transfers",Board Designated,Kenya
General Support,One For the World (MAIN),$260798,2021-05-05,https://www.givewell.org/about/impact/one-for-the-world/may-2021-grant,Organizational support,Coefficient Giving,
Scale-Up of Face Masks in South Asia,Innovations for Poverty Action,$100000,2021-05-01,https://www.givewell.org/research/incubation-grants/IPA-masks-South-Asia-July-2021,"COVID-19,Policy",Effective Altruism Funds,"Bangladesh,India,Pakistan"
"Long-Lasting Insecticidal Nets in Democratic Republic of the Congo, 2023",Against Malaria Foundation,$1046031,2021-04-01,https://www.givewell.org/maximum-impact-fund/allocation-q1-2021,"Malaria,Insecticide-treated nets (ITNs)",Top Charities Fund,Democratic Republic of the Congo
Deworming in Chad 2022-2024,Sightsavers,$1500000,2021-04-01,https://www.givewell.org/maximum-impact-fund/allocation-q1-2021,Deworming,Top Charities Fund,Chad
Vitamin A Supplementation Campaigns in Cameroon and Nigeria,Helen Keller International,$11000000,2021-04-01,https://www.givewell.org/maximum-impact-fund/allocation-q1-2021,"Nutrition,Supplementation,Vitamin A supplementation (VAS)",Top Charities Fund,"Cameroon,Nigeria"
"Support for Long-Lasting Insecticidal Nets Distribution Campaigns in Ondo and Anambra States, Nigeria",Malaria Consortium,$27675074,2021-03-30,https://www.givewell.org/research/incubation-grants/Malaria-Consortium-LLIN-Nigeria-March-2021,"Malaria,Insecticide-treated nets (ITNs)","Coefficient Giving,Individual donor",Nigeria
Long-Lasting Insecticidal Nets in Democratic Republic of the Congo and Nigeria,Against Malaria Foundation,$49683300,2021-01-31,https://www.givewell.org/maximum-impact-fund/grants-jan-feb-2021#Against_Malaria_Foundation,"Malaria,Insecticide-treated nets (ITNs)","Top Charities Fund,Effective Altruism Funds,RC Forward,Effektiv Spenden,Effective Altruism Australia,Individual donor,Vanguard Charitable","Democratic Republic of the Congo,Nigeria"
"Seasonal Malaria Chemoprevention in Nigeria, Burkina Faso, Togo, and Chad",Malaria Consortium,$23417674,2021-01-31,https://www.givewell.org/maximum-impact-fund/grants-jan-feb-2021#Malaria_Consortium-s_seasonal_malaria_chemoprevention_SMC_program,"Malaria,Seasonal malaria chemoprevention (SMC)","Coefficient Giving,Effective Altruism Funds","Burkina Faso,Chad,Nigeria,Togo"
General Support,University of Edinburgh,$6743954,2021-01-05,https://www.givewell.org/research/incubation-grants/CPSP-general-support-jan-2021,"Policy,Suicide prevention",Coefficient Giving,"China,India,Nepal"
Support for a Consortium on Alcohol Control Policy,Vital Strategies,$100000,2021-01-05,https://www.givewell.org/research/incubation-grants/vital-strategies-consortium-on-alcohol-control-policy-jan-2021,"Alcohol,Policy",Coefficient Giving,
Treatment of Malnutrition in Niger,ALIMA USA,$1008450,2020-12-30,https://www.givewell.org/research/incubation-grants/ALIMA-malnutrition-Niger-June-2021,"Nutrition,Malnutrition",Coefficient Giving,Niger
Randomized Controlled Trial on the Effect of Face Masks on COVID-19,Innovations for Poverty Action,$800000,2020-12-01,https://www.givewell.org/research/incubation-grants/innovations-for-poverty-action-masks-rct-july-2020,"COVID-19,Research",Effective Altruism Funds,Bangladesh
Incentive Grant,END Fund,$500000,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#END_Fund-s_deworming_program,Deworming,Coefficient Giving,
Deworm the World,Evidence Action,$4103000,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#Evidence_Action-s_Deworm_the_World_Initiative,Deworming,Coefficient Giving,"Ghana,Kenya,Nigeria"
Randomized Controlled Trial on the Effect of Face Masks on COVID-19,Innovations for Poverty Action,$140000,2020-11-01,https://www.givewell.org/research/incubation-grants/innovations-for-poverty-action-masks-rct-july-2020,"COVID-19,Research",Effective Altruism Funds,Bangladesh
General Support,Global Alliance for Improved Nutrition (GAIN),$50000,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#Standout_charities,"Nutrition,Fortification",Coefficient Giving,
Iodization Programming,Iodine Global Network,$50000,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#Standout_charities,"Nutrition,Fortification",Coefficient Giving,
General Support,Living Goods,$50000,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#Standout_charities,"""Maternal, neonatal, and child health""",Coefficient Giving,
Incentive Grant,GiveDirectly,$500000,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#GiveDirectly,"Cash transfers,Unconditional cash transfers",Coefficient Giving,
Dispensers for Safe Water,Evidence Action,$50000,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#Standout_charities,Water,Coefficient Giving,
"Seasonal Malaria Chemoprevention in Nigeria, Burkina Faso, Chad, and Togo",Malaria Consortium,$30869120,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#Malaria_Consortium-s_seasonal_malaria_chemoprevention_program,"Malaria,Seasonal malaria chemoprevention (SMC)","Coefficient Giving,Top Charities Fund","Burkina Faso,Chad,Nigeria,Togo"
General Support,Project Healthy Children Inc,$50000,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#Standout_charities,Nutrition,Coefficient Giving,
Deworming Program,Sightsavers,$2796000,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#Sightsavers-_deworming_program,Deworming,Coefficient Giving,"Cameroon,Democratic Republic of the Congo,Nigeria"
General Support,Against Malaria Foundation,$6651000,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#Against_Malaria_Foundation,"Malaria,Insecticide-treated nets (ITNs)",Coefficient Giving,"Democratic Republic of the Congo,Guinea"
Public Health Broadcasting,Development Media International,$50000,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#Standout_charities,Mass media,Coefficient Giving,
Food Fortification Initiative General Support,Emory University,$50000,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#Standout_charities,"Nutrition,Fortification",Coefficient Giving,
Vitamin A Supplementation in 7 Countries,Helen Keller International,$8059000,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation,"Nutrition,Supplementation,Vitamin A supplementation (VAS)",Coefficient Giving,"Burkina Faso,Democratic Republic of the Congo,Côte d’Ivoire,Guinea,Mali,Niger,Nigeria"
General Support,Unlimit Health (formerly SCI Foundation),$3129000,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#SCI_Foundation,Deworming,Coefficient Giving,
Zusha! General Support,Georgetown University,$50000,2020-11-01,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#Standout_charities,"Infrastructure,Policy",Coefficient Giving,
Scale-Up of Conditional Cash Transfers for Infant Immunization,New Incentives,$16785243,2020-10-16,https://www.givewell.org/charities/top-charities/2020/open-philanthropy-recommendation#New_Incentives,"Conditional cash transfers (CCTs),Incentives,Vaccines",Coefficient Giving,Nigeria
General Support,University of Edinburgh,$198320,2020-10-01,https://www.givewell.org/research/incubation-grants/CPSP-general-support-jan-2021,"Policy,Suicide prevention",Effective Altruism Funds,"India,Nepal"
Seasonal Malaria Chemoprevention,Malaria Consortium,$8000000,2020-09-01,https://blog.givewell.org/2020/10/13/maximum-impact-fund-update-we-estimate-givewell-donors-15-3-million-to-the-against-malaria-foundation-will-save-over-3000-lives/,"Malaria,Seasonal malaria chemoprevention (SMC)",,"Burkina Faso,Chad,Nigeria,Togo"
Top Charities Fund grant September 2020,Against Malaria Foundation,$15300000,2020-09-01,https://blog.givewell.org/2020/10/13/maximum-impact-fund-update-we-estimate-givewell-donors-15-3-million-to-the-against-malaria-foundation-will-save-over-3000-lives/,"Malaria,Insecticide-treated nets (ITNs)","Board Designated,Top Charities Fund","Democratic Republic of the Congo,Guinea"
Insecticide-Treated Nets,Against Malaria Foundation,$1649872,2020-09-01,,"Malaria,Insecticide-treated nets (ITNs)",Individual donor,
Expansion of Kenya Study of Water Treatment and Child Survival,Tufts University,$203796,2020-09-01,https://www.givewell.org/research/incubation-grants/tufts-university-kswtcs-expansion-sept-2020,"Chlorination,Research,Water",,Kenya
Syphilis Screening and Treatment in Pregnancy in Liberia,Evidence Action,$3793617,2020-08-01,https://www.givewell.org/research/incubation-grants/Evidence-Action-syphilis-aug-2020,"HIV/AIDS,""Maternal, neonatal, and child health"",Syphilis",Individual donor,Liberia
Randomized Controlled Trial on the Effect of Face Masks on COVID-19,Innovations for Poverty Action,$2000000,2020-07-01,https://www.givewell.org/research/incubation-grants/innovations-for-poverty-action-masks-rct-july-2020,"COVID-19,Research",Effective Altruism Funds,Bangladesh
Support for Governments Responding to COVID-19,ID Insight Inc,$1206000,2020-06-01,https://www.givewell.org/research/incubation-grants/covid-19-grantmaking-2020#IDinsight_Support_for_Governments_Responding_to_COVID-19_June_2020,"COVID-19,Policy",,"Burkina Faso,Côte d’Ivoire,Ethiopia,Madagascar,Malawi,Mozambique,Tanzania,Uganda,Zambia"
Long-Lasting Insecticidal Nets Funding Gap Scoping,Malaria Consortium,$44688,2020-06-01,https://www.givewell.org/research/incubation-grants/malaria-consortium/june-2020-grant,"Malaria,Insecticide-treated nets (ITNs)",,
Support for COVID-19 Data Collection and Analysis for Government Partners,ID Insight Inc,$150000,2020-04-01,https://www.givewell.org/research/incubation-grants/covid-19-grantmaking-2020#IDinsight_Support_for_Data_Collection_and_Analysis_for_Government_Partners_April_2020,"COVID-19,Policy",,
Support for Government of Bangladesh's COVID-19 Response,Yale University,$100000,2020-04-01,https://www.givewell.org/research/incubation-grants/covid-19-grantmaking-2020#Yale_Research_Initiative_on_Innovation_and_Scale_Support_for_Government_of_Bangladesh_Response_April_2020,"COVID-19,Policy",,Bangladesh
Conditional Cash Transfers for Infant Immunizations,New Incentives,$1897905,2020-04-01,https://www.givewell.org/research/incubation-grants/new-incentives/april-2020-grant,"Conditional cash transfers (CCTs),Incentives,Research,Vaccines",,Nigeria
Public Health Broadcasting,Development Media International,$200000,2020-04-01,https://www.givewell.org/research/incubation-grants/covid-19-grantmaking-2020#Development_Media_International_Public_Health_Broadcasting_April_2020,"COVID-19,Mass media",,"Burkina Faso,Côte d’Ivoire,Ethiopia,Madagascar,Malawi,Mozambique,Tanzania,Uganda,Zambia"
Top Charities Fund grant March 2020,Helen Keller International,$1500000,2020-03-01,https://blog.givewell.org/2020/03/17/allocation-of-discretionary-funds-from-q4-2019/,"Nutrition,Supplementation,Vitamin A supplementation (VAS)",,Côte d’Ivoire
Research Support Exit Grant,"University of California, Berkeley",$88000,2020-03-01,https://www.givewell.org/research/incubation-grants/march-2020-ted-miguel-research-support,"Cash transfers,Deworming,Incentives,Unconditional cash transfers",,
Top Charities Fund grant March 2020,Malaria Consortium,$11900000,2020-03-01,https://blog.givewell.org/2020/03/17/allocation-of-discretionary-funds-from-q4-2019/,"Malaria,Seasonal malaria chemoprevention (SMC)",,"Burkina Faso,Chad,Nigeria,Togo"
Top Charities Fund grant December 2019,Helen Keller International,$2658974,2019-12-01,https://blog.givewell.org/2019/12/19/allocation-of-discretionary-funds-from-q3-2019/,"Nutrition,Supplementation,Vitamin A supplementation (VAS)",,"Burkina Faso,Democratic Republic of the Congo,Côte d’Ivoire,Guinea,Mali,Niger,Nigeria"
Project Healthy Children—2019 recommendation to Open Philanthropy for Grants to,Project Healthy Children Inc,$100000,2019-11-01,https://www.givewell.org/charities/top-charities/2019/open-philanthropy-recommendation,"Nutrition,Fortification,Iron",,
Against Malaria Foundation—2019 recommendation to Open Philanthropy for Grants t,Against Malaria Foundation,$2500000,2019-11-01,https://www.givewell.org/charities/top-charities/2019/open-philanthropy-recommendation,"Malaria,Insecticide-treated nets (ITNs)",,
Food Fortification Initiative—2019 recommendation to Open Philanthropy for Grant,Emory University,$100000,2019-11-01,https://www.givewell.org/charities/top-charities/2019/open-philanthropy-recommendation,"Nutrition,Fortification,Iron",,
Zusha! Road Safety Campaign—2019 recommendation to Open Philanthropy for Grants,Georgetown University,$100000,2019-11-01,https://www.givewell.org/charities/top-charities/2019/open-philanthropy-recommendation,"Infrastructure,Policy",,
END Fund's deworming program—2019 recommendation to Open Philanthropy for Grants,END Fund,$2500000,2019-11-01,https://www.givewell.org/charities/top-charities/2019/open-philanthropy-recommendation,Deworming,,
GAIN's universal salt iodization program—2019 recommendation to Open Philanthrop,Global Alliance for Improved Nutrition (GAIN),$100000,2019-11-01,https://www.givewell.org/charities/top-charities/2019/open-philanthropy-recommendation,"Nutrition,Fortification",,
Evidence Action's Dispensers for Safe Water—2019 recommendation to Open Philanth,Evidence Action,$100000,2019-11-01,https://www.givewell.org/charities/top-charities/2019/open-philanthropy-recommendation,"Chlorination,Water",,
Iodine Global Network—2019 recommendation to Open Philanthropy for Grants to Top,Iodine Global Network,$100000,2019-11-01,https://www.givewell.org/charities/top-charities/2019/open-philanthropy-recommendation,"Nutrition,Fortification",,
Sightsavers' Deworming program—2019 recommendation to Open Philanthropy for Gran,Sightsavers,$2710100,2019-11-01,https://www.givewell.org/charities/top-charities/2019/open-philanthropy-recommendation,Deworming,,"Cameroon,Democratic Republic of the Congo,Nigeria"
GiveDirectly—2019 recommendation to Open Philanthropy for Grants to Top Charitie,GiveDirectly,$2500000,2019-11-01,https://www.givewell.org/charities/top-charities/2019/open-philanthropy-recommendation,"Cash transfers,Incentives,Livelihoods,Unconditional cash transfers",,
Helen Keller Intl's VAS program—2019 recommendation to Open Philanthropy for Gra,Helen Keller International,$9709000,2019-11-01,https://www.givewell.org/charities/top-charities/2019/open-philanthropy-recommendation,"Nutrition,Supplementation,Vitamin A supplementation (VAS)",,"Burkina Faso,Democratic Republic of the Congo,Côte d’Ivoire,Guinea,Mali,Niger,Nigeria"
Development Media International—2019 recommendation to Open Philanthropy for Gra,Development Media International,$100000,2019-11-01,https://www.givewell.org/charities/top-charities/2019/open-philanthropy-recommendation,Mass media,,
Malaria Consortium's SMC program—2019 recommendation to Open Philanthropy for Gr,Malaria Consortium,$33926000,2019-11-01,https://www.givewell.org/charities/top-charities/2019/open-philanthropy-recommendation,"Malaria,Seasonal malaria chemoprevention (SMC)",,"Burkina Faso,Chad,Nigeria,Togo"
Living Goods—2019 recommendation to Open Philanthropy for Grants to Top Charitie,Living Goods,$100000,2019-11-01,https://www.givewell.org/charities/top-charities/2019/open-philanthropy-recommendation,"""Maternal, neonatal, and child health""",,
One for the World—General Support (2019),One For the World (MAIN),$355000,2019-10-01,https://www.givewell.org/about/impact/one-for-the-world/october-2019-grant,Organizational support,,
Fortify Health—General Support (August 2019),Fortify Health,$1005716,2019-08-01,https://www.givewell.org/research/incubation-grants/fortify-health/august-2019-grant,"Nutrition,Fortification,Iron",,India
IDinsight—Endline Evaluation of New Incentives RCT,ID Insight Inc,$2105962,2019-08-01,https://www.givewell.org/research/incubation-grants/IDinsight-new-incentives-august-2019,"Conditional cash transfers (CCTs),Incentives,Research,Vaccines",,Nigeria
Top Charities Fund grant August 2019,Against Malaria Foundation,$2299815,2019-08-01,https://blog.givewell.org/2019/08/21/allocation-of-discretionary-funds-from-q2-2019/,"Malaria,Insecticide-treated nets (ITNs)",,Democratic Republic of the Congo
Charity Science Health—Exit Grant,Charity Science Health,$214425,2019-07-01,https://www.givewell.org/research/incubation-grants/charity-science-exit-grant-july-2019,"SMS reminders,Vaccines",,India
Top Charities Fund grant June 2019,Against Malaria Foundation,$4677752,2019-06-01,https://blog.givewell.org/2019/06/12/allocation-of-discretionary-funds-from-q1-2019/,"Malaria,Insecticide-treated nets (ITNs)","Top Charities Fund,Vanguard Charitable",Democratic Republic of the Congo
Instiglio—Designing a Health Outcomes Fund,Instiglio,$60000,2019-04-01,https://www.givewell.org/research/incubation-grants/april-2019-instiglio,"Organizational support,Technical assistance",,
IDinsight—Beneficiary Preferences Survey (Mar 2019),ID Insight Inc,$474374,2019-03-01,https://www.givewell.org/research/incubation-grants/IDinsight-beneficiary-preferences-march-2019,"Moral weights,Research",,"Ghana,Kenya"
Evidence Action—Strengthen Operations (2019),Evidence Action,$7751915,2019-03-01,https://www.givewell.org/research/incubation-grants/march-2019-evidence-action,Organizational support,,
Top Charities Fund grant March 2019,Malaria Consortium,$7600000,2019-03-01,https://blog.givewell.org/2019/03/29/allocation-of-discretionary-funds-from-q4-2018/,"Malaria,Seasonal malaria chemoprevention (SMC)",,"Burkina Faso,Chad,Nigeria"
Malaria Consortium—Grant from Effective Altruism Global Health and Development F,Malaria Consortium,$1700000,2019-03-01,https://blog.givewell.org/2019/03/29/allocation-of-discretionary-funds-from-q4-2018/,"Malaria,Seasonal malaria chemoprevention (SMC)",,"Burkina Faso,Chad,Nigeria"
"Evidence Action—Impact Evaluation of Iron and Folic Acid Supplementation (""Phase",Evidence Action,$800000,2019-03-01,https://www.givewell.org/research/incubation-grants/march-2019-evidence-action-beta-iron-folic-acid-impact-evaluation,"Nutrition,Iron,Supplementation",,India
Malaria Consortium—Grant from Centre for Effective Altruism,Malaria Consortium,$800000,2019-03-01,https://blog.givewell.org/2019/03/29/allocation-of-discretionary-funds-from-q4-2018/,"Malaria,Seasonal malaria chemoprevention (SMC)",,"Burkina Faso,Chad,Nigeria"
IDinsight—New Incentives RCT (February to May 2019),ID Insight Inc,$184324,2019-02-01,https://www.givewell.org/research/incubation-grants/IDinsight-new-incentives-may-2019,"Conditional cash transfers (CCTs),Incentives,Research,Vaccines",,Nigeria
