Grant,Recipient,Amount,Date,Link to grant description,Topics,Funders,Countries
Syphilis Screening and Treatment in Pregnancy in Zambia,Evidence Action,$1046535,2025-03-27,https://www.givewell.org/research/grants/Evidence-Action-Syphilis-Screening-and-Treatment-in-Pregnancy-in-Zambia-foreign-aid-gap-filling-grants-March-2025,"""Maternal, neonatal, and child health"",Syphilis",Board Designated,Zambia
Short-Term Seasonal Malaria Chemoprevention Campaign Gaps in Togo,Malaria Consortium,$150000,2025-03-26,https://www.givewell.org/research/grants/short-term-smc-campaign-gaps-in-guinea-mali-cameroon-c%C3%B4te-dIvoire-togo-and-benin-april-2025,"Malaria,Seasonal malaria chemoprevention (SMC)",Doneer Effectief,"Benin,Cameroon,Côte d’Ivoire,Guinea,Mali,Togo"
Rapid Surveys on Tea Consumption and Iron Supplementation Timing in India,Tech Mahindra Foundation,$22000,2025-03-26,https://www.givewell.org/research/grants/Tech-Mahindra-Foundation-Rapid-Surveys-on-Tea-Consumption-and-Iron-Supplementation-Timing-in-India-March-2025,"Nutrition,Research",All Grants Fund,India
Short-Term Seasonal Malaria Chemoprevention Campaign Gaps in Mali,PATH,$100184,2025-03-25,https://www.givewell.org/research/grants/short-term-smc-campaign-gaps-in-guinea-mali-cameroon-c%C3%B4te-dIvoire-togo-and-benin-april-2025,"Malaria,Seasonal malaria chemoprevention (SMC)",Individual donor,"Benin,Cameroon,Côte d’Ivoire,Guinea,Mali,Togo"
Short-Term Seasonal Malaria Chemoprevention Campaign Gaps in Guinea,RTI International (Research Triangle Institute),$560000,2025-03-25,https://www.givewell.org/research/grants/short-term-smc-campaign-gaps-in-guinea-mali-cameroon-c%C3%B4te-dIvoire-togo-and-benin-april-2025,"Malaria,Seasonal malaria chemoprevention (SMC)",Individual donor,"Benin,Cameroon,Côte d’Ivoire,Guinea,Mali,Togo"
Short-Term Seasonal Malaria Chemoprevention Campaign Gaps in Côte d'Ivoire,Population Services International,$115000,2025-03-25,https://www.givewell.org/research/grants/short-term-smc-campaign-gaps-in-guinea-mali-cameroon-c%C3%B4te-dIvoire-togo-and-benin-april-2025,"Malaria,Seasonal malaria chemoprevention (SMC)",Individual donor,"Benin,Cameroon,Côte d’Ivoire,Guinea,Mali,Togo"
Short-Term Seasonal Malaria Chemoprevention Campaign Gaps in Cameroon,Jhpiego Corporation,$1270126,2025-03-25,https://www.givewell.org/research/grants/short-term-smc-campaign-gaps-in-guinea-mali-cameroon-c%C3%B4te-dIvoire-togo-and-benin-april-2025,"Malaria,Seasonal malaria chemoprevention (SMC)","All Grants Fund,Individual donor","Benin,Cameroon,Côte d’Ivoire,Guinea,Mali,Togo"
Bridge Funding for Phone-Based Vaccination Reminder Program in Nigeria,Notify Health,$160000,2025-03-21,https://www.givewell.org/research/grants/notify-health-bridge-funding-for-phone-based-vaccination-reminder-program-in-nigeria-march-2025,"SMS reminders,Vaccines",Board Designated,Nigeria
Development Innovation Lab Chlorine Coverage Surveys in Malawi and Uganda,University of Chicago,$256729,2025-03-20,https://www.givewell.org/research/grants/development-innovation-lab-and-innovations-for-poverty-action-chlorine-coverage-surveys-in-malawi-and-uganda-march-april-2025,"Chlorination,Water",All Grants Fund,"Malawi,Uganda"
Chlorine Coverage Surveys in Malawi and Uganda,Innovations for Poverty Action,$655894,2025-03-20,https://www.givewell.org/research/grants/development-innovation-lab-and-innovations-for-poverty-action-chlorine-coverage-surveys-in-malawi-and-uganda-march-april-2025,"Chlorination,Water",All Grants Fund,"Malawi,Uganda"
Program Monitoring,The Taimaka Project,$588489,2025-03-19,https://www.givewell.org/research/grants/taimaka-acute-malnutrition-treatment-in-gombe-state-nigeria-november-2024-and-program-monitoring-march-2025,"Nutrition,Malnutrition","Board Designated,All Grants Fund,Individual donor",Nigeria
RCT of Hospital-Based Cholera Intervention,Johns Hopkins University,$740852,2025-03-14,https://www.givewell.org/research/grants/johns-hopkins-university-rct-of-hospital-based-cholera-intervention-march-2025,"Chlorination,Research,Water","Board Designated,All Grants Fund",Bangladesh
Bridge Grant to Retain Bihar Staff,UN World Food Programme,$44519,2025-03-10,https://www.givewell.org/research/grants/World-Food-Programme-Bridge-grant-Bihar-March-2025,"Nutrition,Fortification",Board Designated,India
Tuberculosis Household Contact Management in Pakistan,Spiro,$247118,2025-03-06,https://www.givewell.org/research/grants/Spiro-Tuberculosis-Household-Contact-Management-in-Pakistan-February-2025,Tuberculosis,All Grants Fund,Pakistan
